着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,ﾀｲﾑ指数,通過,上り,単勝,人気,馬体重,調教ﾀｲﾑ,厩舎ｺﾒﾝﾄ,備考,調教師,馬主,賞金(万円),Year
17,8,18,ビターエンダー,牡3,57,津村明秀,3:09.4,1.1/4,**,18-18-15-14,38.3,302.1,17,476(+2),,,,"[東]
相沢郁",ヒダカ・ブリーダーズ・ユニオン,"",2020
18,8,17,キメラヴェリテ,牡3,57,松若風馬,3:11.7,大,**,1-1-1-4,41.8,324,18,540(0),,,,"[西]
中竹和也",加藤誠,"",2020
1,2,3,タイトルホルダー,牡3,57,横山武史,3:04.6,"",**,1-1-1-1,35.1,8,4,464(-2),,,,"[東]
栗田徹",山田弘,"15,007.9",2021
2,8,18,オーソクレース,牡3,57,ルメール,3:05.4,5,**,11-11-10-9,34.8,5.4,3,474(-2),,,,"[東]
久保田貴",キャロットファーム,"5,659.4",2021
3,6,11,ディヴァインラヴ,牝3,55,福永祐一,3:05.4,アタマ,**,6-6-6-6,35.2,17.3,6,484(0),,,,"[西]
斉藤崇史",窪田芳郎,"3,429.7",2021
4,7,14,ステラヴェローチェ,牡3,57,吉田隼人,3:05.4,ハナ,**,15-15-15-9,34.7,4.1,2,494(-12),,,,"[西]
須貝尚介",大野剛嗣,"1,800.0",2021
5,4,7,ディープモンスター,牡3,57,武豊,3:05.6,1.1/2,**,8-9-10-11,34.9,18.1,7,450(-4),,,,"[西]
池江泰寿",ＤＭＭドリームクラブ,"1,200.0",2021
6,5,9,ヴェローチェオロ,牡3,57,幸英明,3:05.7,クビ,**,12-12-12-14,34.9,44.1,12,470(+2),,,,"[西]
須貝尚介",大野剛嗣,"",2021
7,7,13,アリーヴォ,牡3,57,Ｍ．デム,3:05.8,3/4,**,8-9-7-7,35.4,40.3,11,492(0),,,,"[西]
杉山晴紀",シルクレーシング,"",2021
8,4,8,エアサージュ,牡3,57,藤岡佑介,3:05.9,3/4,**,4-4-5-4,35.9,36.3,10,514(-18),,,,"[西]
池添学",ラッキーフィールド,"",2021
9,1,2,アサマノイタズラ,牡3,57,田辺裕信,3:06.0,アタマ,**,18-18-18-17,34.7,13.1,5,492(-6),,,,"[東]
手塚貴久",星野壽市,"",2021
10,8,17,ヴィクティファルス,牡3,57,池添謙一,3:06.1,3/4,**,8-8-7-7,35.7,18.4,8,474(0),,,,"[西]
池添学",Ｇ１レーシング,"",2021
11,3,6,セファーラジエル,牡3,57,鮫島克駿,3:06.2,1/2,**,2-2-2-2,36.6,90.8,17,524(+2),,,,"[西]
高柳大輔",サンデーレーシング,"",2021
12,2,4,ロードトゥフェイム,牡3,57,丹内祐次,3:06.2,1/2,**,12-12-13-14,35.4,60.1,15,492(+10),,,,"[東]
尾形和幸",岡田牧雄,"",2021
13,3,5,レッドジェネシス,牡3,57,川田将雅,3:06.3,1/2,**,17-17-17-16,35.1,3.9,1,494(+4),,,,"[西]
友道康夫",東京ホースレーシング,"",2021
14,5,10,モンテディオ,牡3,57,横山和生,3:06.7,2,**,2-3-2-3,36.9,46.4,13,474(0),,,,"[西]
四位洋文",毛利元昭,"",2021
15,8,16,グラティアス,牡3,57,松山弘平,3:06.7,クビ,**,4-4-4-4,36.8,59.7,14,494(-6),,,,"[東]
加藤征弘",スリーエイチレーシング,"",2021
16,7,15,ヴァイスメテオール,牡3,57,丸山元気,3:07.1,2.1/2,**,14-14-13-13,36.3,21.7,9,494(-8),,,,"[東]
岩戸孝樹",シルクレーシング,"",2021
17,6,12,ノースザワールド,牡3,57,和田竜二,3:07.5,2.1/2,**,15-15-15-17,36.4,105.5,18,470(-2),,,,"[西]
大久保龍",スリーエイチレーシング,"",2021
18,1,1,ワールドリバイバル,牡3,57,津村明秀,3:08.5,6,**,6-6-7-11,38.1,85.4,16,512(+6),,,,"[西]
牧田和弥",鈴木昭和,"",2021
1,7,14,アスクビクターモア,牡3,57,田辺裕信,3:02.4,"",**,2-2-2-1,36.9,4.1,2,476(0),,,,"[東]
田村康仁",廣崎利洋ＨＤ,"18,065.3",2022
2,2,4,ボルドグフーシュ,牡3,57,吉田隼人,3:02.4,ハナ,**,12-13-10-4,36.3,11.5,7,496(0),,,,"[西]
宮本博",社台レースホース,"6,875.8",2022
3,8,17,ジャスティンパレス,牡3,57,鮫島克駿,3:02.5,1/2,**,8-6-6-4,36.5,9.7,4,452(0),,,,"[西]
杉山晴紀",三木正浩,"4,237.9",2022
